id,raw_name,canonical_name,match_method,confidence_score,entity_type,created_at
1,OpenAI,OpenAI,exact,1.0,STARTUP,2026-09-11T13:22:29.049943+00:00
2,Anthropic,Anthropic,exact,1.0,STARTUP,2026-09-11T13:22:29.062832+00:00
3,Mistral AI,Mistral AI,exact,1.0,STARTUP,2026-09-11T13:22:29.074639+00:00
4,Cohere,Cohere,exact,1.0,STARTUP,2026-09-11T13:22:29.086627+00:00
5,Scale AI,Scale AI,exact,1.0,STARTUP,2026-09-11T13:22:29.100408+00:00
6,Hugging Face,Hugging Face,exact,1.0,STARTUP,2026-09-11T13:22:29.110333+00:00
7,Perplexity,Perplexity,exact,1.0,STARTUP,2026-09-11T13:22:29.122117+00:00
8,Runway,Runway,exact,1.0,STARTUP,2026-09-11T13:22:29.132491+00:00
9,ElevenLabs,ElevenLabs,exact,1.0,STARTUP,2026-09-11T13:22:29.146819+00:00
10,Pinecone,Pinecone,exact,1.0,STARTUP,2026-09-11T13:22:29.156493+00:00
11,OpenAI,OpenAI,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.168847+00:00
12,Anthropic,Anthropic,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.183071+00:00
13,Mistral AI,Mistral AI,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.193506+00:00
14,Perplexity,Perplexity,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.203442+00:00
15,Anysphere,Anysphere,unresolved,0.5,PRODUCT_STARTUP,2026-09-11T13:22:29.211721+00:00
16,Midjourney,Midjourney,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.220276+00:00
17,Runway,Runway,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.233446+00:00
18,ElevenLabs,ElevenLabs,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.239366+00:00
19,LangChain,LangChain,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.245795+00:00
20,LlamaIndex,LlamaIndex,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.254648+00:00
21,Pinecone,Pinecone,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.265985+00:00
22,Qdrant,Qdrant,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.273068+00:00
23,Chroma,Chroma,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.286929+00:00
24,Synthesia,Synthesia,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.298454+00:00
25,HeyGen,HeyGen,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.309025+00:00
26,Cognition,Cognition,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.319247+00:00
27,Groq,Groq,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.330795+00:00
28,Together AI,Together AI,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.341190+00:00
29,Fireworks AI,Fireworks AI,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.351061+00:00
30,Baseten,Baseten,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:22:29.364822+00:00
31,Anthropic A.I. Labs LLC,Anthropic A I,unresolved,0.5,STARTUP,2026-09-11T13:22:45.228180+00:00
32,OpenAI Inc.,OpenAI,normalized,0.95,STARTUP,2026-09-11T13:22:45.234925+00:00
33,Mistral AI Corp.,Mistral AI,normalized,0.95,STARTUP,2026-09-11T13:22:45.241225+00:00
34,Unknown AI Startup LLC,Unknown Startup,unresolved,0.5,STARTUP,2026-09-11T13:22:45.246463+00:00
35,OpenAI,OpenAI,exact,1.0,STARTUP,2026-09-11T13:23:28.425897+00:00
36,Anthropic,Anthropic,exact,1.0,STARTUP,2026-09-11T13:23:28.434066+00:00
37,Mistral AI,Mistral AI,exact,1.0,STARTUP,2026-09-11T13:23:28.440669+00:00
38,Cohere,Cohere,exact,1.0,STARTUP,2026-09-11T13:23:28.446502+00:00
39,Scale AI,Scale AI,exact,1.0,STARTUP,2026-09-11T13:23:28.452747+00:00
40,Hugging Face,Hugging Face,exact,1.0,STARTUP,2026-09-11T13:23:28.457310+00:00
41,Perplexity,Perplexity,exact,1.0,STARTUP,2026-09-11T13:23:28.463796+00:00
42,Runway,Runway,exact,1.0,STARTUP,2026-09-11T13:23:28.468263+00:00
43,ElevenLabs,ElevenLabs,exact,1.0,STARTUP,2026-09-11T13:23:28.474207+00:00
44,Pinecone,Pinecone,exact,1.0,STARTUP,2026-09-11T13:23:28.478772+00:00
45,OpenAI,OpenAI,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:23:28.488831+00:00
46,Anthropic,Anthropic,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:23:28.495146+00:00
47,Mistral AI,Mistral AI,exact,1.0,PRODUCT_STARTUP,2026-09-11T13:23:28.500326+00:00
